text,label
 نظرم گوشی نوكیا میخریدم اینقدر اعصابم خورد نمیشدگریه خنده خاهرم,SAD
 كمیت مهم كیفیت مهمه,HATE
 نظرم كردی,HAPPY
 كاشكی خدا كرونا بیماران روحی روانی بخصوص هموطنان شفا بده,ANGRY
 نظرم خوبه اطرافیان بیشنهاد ماهه میكنم راجع تیره بوست نمیتونم نظری بدم,HAPPY
 برایوت گروب براندازی آدم اینوایت میكنن وارد میشی عین بازی مافیا میمونه هی زور بزنی بفهمی بلیس كیه مافیا كیه,HATE
 بعضی بلایا یكبار نازل همون جوری تاریخ ثبت مثال عاقبت قوم لوت,SAD
 تشگیلات جاهلیت تحمیلی حكومت اشرار شئونیزم فرقه فارسیسم اقلیت اشغالگر باملتهای ایرانیان مشكل اصل اساسی بخاطرهمین بول نقد یارانه میدهد تولیدملتهای ایرانیان عادی باگرانفروشی حذف نابودكند ساله اینكارخیانتكارانه ازبیش میكند,ANGRY
 بول بلوكه آزاد تحریمها بول بلوكه روزی آزاد بشه دفاعیه غیردفاعی درمورد اینكه گفتید یمن لبنان غیره شرایط منطقه ایجاب میكنه خاورمیانه دریای نفت خوابیده دلیل آتش بتونن نفت ارزون ببرن,ANGRY
 گرامی باد آغاز چهلمین سال حیات درخشان شورای ملی مقاومت ایران یگانه جایگزین دمكراتیك رژیم تضمینی حا…,ANGRY
 دوصورت وحشتناك طفل معصوم,FEAR
 جماعت شرفی حقیقتا نوبت خودتونه حرف احترام حقوق شهروندی قانون میزنید حالا نوبت بقیه بزنیم دهنشو خورد كنیم كارهای,HATE
 میگن استونمارتین جلو داشبورد عنه گرد ماله مینی ماینره,OTHER
 عجیب ترین چیزهایی خارجه دیدم كار داوطلبانه ست ١٩سالشه تعطیلات دانشگاهه میتونه بره ولو شه كیف كنه هرساعت شبانه ازش بخوام بچه كتاب میخونه باخودم هلندی حرف میزنه بهش دستت دردنكنه هربار میگه ازم تشكر نكن خودم لذت میبرم,SURPRISE
 حوصله قدیمو برم دایركت دخترا تنهایی تونم دووم بیارم حد تباه زوالم,SAD
 فك حالم دوباره بد میرم برگشتم دوباره,SAD
 والا ندیدم كسی قرنطینه فیلم بگیرن هرچیزیم بذارن باور نمیكنم عقل جور درنمیاد حرفای ربطی حكومت,ANGRY
 واقعا جوری,SURPRISE
 دلم باكس ادامس خرسی میخواد اینقدر بخورم كور شم,SAD
 كشور لبریز كسب كارهای جاكشبنیان بكیج موفقیت كارت تخفیف دندانبزشكی اساماس ارزش افزوده مسابقهی تلویزیونی گلزار قرعهكشی خركی كوفت زهرمار,ANGRY
 نایت گارد بذاری صبح میشی درد خاصی صورتت,OTHER
 كشورهای درگیر كرونا سفت سخت دارن رعایت میكنن عده گوسفند ایران هستن میبینن ماسك زدی میخندن تعجب میكنن,OTHER
 اره خودم شخصه روابط دیوانه وار دوست محكوم شكستند,SAD
 بزرگی جهان سیاست رسانه میخواست باور كنیم خشونت هزاران زندگیای سیاست نابود بدبختی كشانده چندتا خودروییست سوزانده میكنی گرافیتی بنای تاریخی بدتر ناتوانی تامین زندگی غذاست فقر تجربه نكردهای,SAD
 بزنیم نفت,OTHER
 اینكه خواب ببینید آمارو بگیرین,OTHER
 درگیر داستانی سعید مولایی شك ندارم,OTHER
 میخوام درس عبرت جوانان بشم نرن سراغ كارا,OTHER
 اره واقعا بیشترین كتابیه كادو بیشترشو كادو اینم میدم,HAPPY
 شكل بوسیده مناسبات انسانی اجتماعی آدما عادی روال بینهایت بیزار متنفرم انكار طبق سری فرمول رفتار میكنن اصلاً ملّت یادش فلانی انسانی جنسیت بابا آدم حرف بزن حرف بشنو چته آخه,ANGRY
