text,label
پوست لبمو هرچی میکنم باز کنده میشه و تا ثریا میره. نه اون جور با کیف و لذت. اون جور ترسناک و سوزاننده,FEAR
 مشکل و بدبختی ایران همینجاست که تموم فسادا از زیر عمامه امثال تو میاد بیرون و برای فریب مردم گیر دادین به دو تار موی زنان...ریش شما ریشه مردم و سوزونده...خدا خر و شناخته که بهش شاخ نداده...این عوعو سگان شما هم نیز بگذرد...#انسانم_آرزوست,ANGRY
اونوقت میخواهید باچنین رژیمی که تمام جنبه های بشریت را زیر پا گذاشته ،تجدیدنطر درمورد تحریمهاکنید ؟ مامردم راضی نیستیم چون چه حکومت راتحریم کنید وچه نکنید، منفعتی به مردم نمیرسد ،شاید باتحریمها این رژیم گروگانگیر وغاصب متلاشی ونابود شود,SAD
پسر اصلا فکرشو نمیکردم یه دورگه سیاه پوست جیبوتیایی_سومالیایی بشه رفیق صمیمیم ، خدایی هم خیلی با درک و شعور و بافرهنگ هست,HAPPY
@username @username @username هدف از این مستند این بود که کره ایا ایرانو بشناسن درسته خب این مستند باعث میشه هر موقع اسم ایران بیاد اونا ی تصویر سیاه از ما داشته باشن مردمی که سیاست و دین و اقتصاد براشون مهمه فقط ماییم  اگه میخوای ی مستند خوب و کامل از ایران ببینی مستندیو ببین که اون گردشگره آمریکایی ساخته,SURPRISE
از حال بد ادما حالم بد میشه. اول به خودم رجوع میکنم که شاید من باعث حال بدشم. بعدش فکر میکنم چی شده چرا و چطور این شده حالش بد باشه. چجوری یکیو میشکنین از کنارش بدون نگاه کردن رد میشین؟,OTHER
"خیلی حس بدیه که بیشتر دوستات امتحاناشون تموم شده و کم و بیش دارن از #تابستان لذت میبرن 
ولی من تازه امتحانام شروع شده و باید بشینم درس بخونم!
#کرونا_بی_پدر_رید_به_همه_چیز www.link.com",FEAR
دردهایمان مضحک میشود. تا کالایی گران و نایاب میشود خبر یافتن انبارهایش تیتر یک رسانههاست. این یعنی مردم خودشان به یکدیگر رحم نمیکنند و موضوع ربطی به عملکرد مسئولان ندارد. کاش موجودی انبارهای محتکران مهربانی و همدلی و جوانمردی و صداقت و... هم پیدا و بین همه توزیع میشد. …,SAD
@username @username کیرم توی کص ننت یا نمیدونی شاه کیه یا نمیدونی رسانه ج.ا چیه ک یه عمر کسشر گفته و توی کسمشنگ باور کردی,HATE
باید پدر باشی و عکس پدری ماتم زده و عزادار رو بر جنازه فرزندش ببینی تا قلبت مچاله بشه باید پدر باشی تا حال اون پدرانی که فرزند بیگناه خودشون رو در جنگ از دست دادن بفهمی باید پدر باشی تا فقط تصور ترس و دلهره فرزندت کافی باشه از نکبت جنگ بیزار بشی من پدرم و از جنگ در هر جایی بیزارم,HATE
